image,fpem_score
00002.png,2.595550060272217
00006.png,3.5962657928466797
00008.png,2.6709084510803223
00009.png,2.6660313606262207
00027.png,1.7297027111053467
00040.png,2.836784839630127
00081.png,3.017582654953003
00121.png,2.0420682430267334
00124.png,1.7555538415908813
00145.png,1.7596265077590942
00199.png,1.6881566047668457
00228.png,1.7181684970855713
00259.png,1.7043129205703735
00322.png,1.7254291772842407
00341.png,1.9657939672470093
00387.png,1.7356353998184204
00400.png,3.3506627082824707
00413.png,1.9301053285598755
00540.png,1.7360637187957764
00606.png,1.852529764175415
00680.png,1.8699681758880615
00696.png,1.8819739818572998
00768.png,2.5029263496398926
00800.png,2.8041279315948486
00938.png,1.6375036239624023
00953.png,1.8046388626098633
00970.png,2.8069581985473633
01021.png,1.8402485847473145
01084.png,2.301025390625
01117.png,1.834590196609497
01171.png,1.757311224937439
01174.png,1.832856297492981
01186.png,2.15761137008667
01263.png,1.8510488271713257
01293.png,2.446852922439575
01304.png,1.6525115966796875
01321.png,1.8137165307998657
01360.png,1.747556447982788
01388.png,1.7236970663070679
01401.png,1.9235799312591553
01408.png,1.699008584022522
01409.png,1.9106420278549194
01410.png,1.6411187648773193
01426.png,1.757271409034729
01470.png,1.785091519355774
01474.png,2.2657172679901123
01495.png,3.1017889976501465
01519.png,2.2563180923461914
01524.png,1.804442048072815
01539.png,1.7582062482833862
01565.png,2.0305588245391846
01576.png,3.18898344039917
01602.png,1.7965753078460693
01669.png,1.9678117036819458
01731.png,1.7704262733459473
01758.png,1.8073914051055908
01815.png,1.8028748035430908
01926.png,1.8032941818237305
01946.png,1.855272650718689
01994.png,1.6789278984069824
02000.png,2.636404275894165
02016.png,1.8348716497421265
02042.png,1.8636431694030762
02045.png,2.2663912773132324
02101.png,1.8291096687316895
02103.png,1.6914546489715576
02121.png,2.2896816730499268
02131.png,2.0517208576202393
02154.png,2.051003932952881
02169.png,2.0323615074157715
02231.png,1.7382385730743408
02273.png,1.7149558067321777
02295.png,1.7687288522720337
02312.png,1.7056280374526978
02400.png,2.94787859916687
02526.png,1.620471715927124
02541.png,1.6915472745895386
02542.png,2.0666964054107666
02553.png,2.0896332263946533
02586.png,2.846553325653076
02676.png,1.8491272926330566
02728.png,1.7259446382522583
02801.png,1.7950831651687622
02805.png,1.796613097190857
02825.png,1.8366888761520386
02855.png,1.6692156791687012
02936.png,1.867964267730713
02946.png,1.7908935546875
03096.png,1.876272201538086
03152.png,2.6808080673217773
03264.png,1.9631316661834717
03265.png,1.6951497793197632
03394.png,1.9168248176574707
03449.png,1.9064685106277466
03475.png,2.775725841522217
03492.png,2.004382371902466
03628.png,1.8229972124099731
03914.png,1.7670886516571045
03934.png,1.6201868057250977
04000.png,2.9586126804351807
